name,abs,link
Walking Trajectory Design of Hydraulic Legged Robot with Limited Powered Pump,"A hydraulic drive system can generate a large force and is impact resistant. Thus, robots that utilize hydraulic drive systems have been developed for use in disaster areas. In a hydraulic drive system, it is necessary to design the motion of the robot within the capacity of the pump unit, but it is generally difficult to predict the required flow rate and pressure. Especially for hydraulically driven legged robots, the periodic significant changes in the required flow rate and pressure can make it difficult to select a pump and design the leg operation within pump capacity. Therefore, most operations are not designed in full consideration of the characteristics of the pump. By designing the operation of the robot considering the characteristics of the pump, improvements in energy efficiency and working speed can be expected. In this study, we theoretically derive the relationship between the leg motion of the hydraulic leg robot and the required pressure and flow rate. Based on the results, a method for designing the operation considering the characteristics of the pump is proposed, and its validity is experimentally confirmed.",https://ieeexplore.ieee.org/document/9561988/
Automatic Gait Pattern Selection for Legged Robots,"An important issue when synthesizing legged locomotion plans is the combinatorial complexity that arises from gait pattern selection. Though it can be defined manually, the gait pattern plays an important role in the feasibility and optimality of a motion with respect to a task. Replacing human intuition with an automatic and efficient approach for gait pattern selection would allow for more autonomous robots, responsive to task and environment changes. To this end, we propose the idea of building a map from task to gait pattern selection for given environment and performance objective. Indeed, we show that for a 2D half-cheetah model and a quadruped robot, a direct mapping between a given task and an optimal gait pattern can be established. We use supervised learning to capture the structure of this map in a form of gait regions. Furthermore, we propose to construct a warm-starting trajectory for each gait region. We empirically show that these warm-starting trajectories improve the convergence speed of our trajectory optimization problem up to 60 times when compared with random initial guesses. Finally, we conduct experimental trials on the ANYmal robot to validate our method.",https://ieeexplore.ieee.org/document/9340789/
Detecting Usable Planar Regions for Legged Robot Locomotion,"Awareness of the environment is essential for mobile robots. Perception for legged robots requires high levels of reliability and accuracy in order to walk stably in the types of complex, cluttered environments we are interested in. In this paper, we present a usable environmental perception algorithm designed to detect steppable areas and obstacles for the autonomous generation of desired footholds for legged robots. To produce an efficient representation of the environment, the proposed perception algorithm is desired to cluster point cloud data to planar regions composed of convex polygons. We describe in this paper the end-to-end pipeline from data collection to generation of the regions, where we first compose an octree in order to create a more efficient data representation. We then group the leaves in the tree using a nearest neighbor search into a planar region, which is composed of the concave hull of points that is decomposed into convex polygons. We present a variety of environments, and illustrate the usability of this approach by the Atlas humanoid robots walking over rough terrain. We also discuss various challenges we faced and insights we gained in the development of this approach.",https://ieeexplore.ieee.org/document/9341000/
Wheel-Legged Robotic Limb to Assist Human with Load Carriage: An Application for  Environmental Disinfection During COVID-19,"During COVID-19, with a heavy sprayer filled with disinfectant, the risk of infection for epidemic prevention personnel has been increased by long-term environmental disinfection. In order to reduce the burden and save energy of human, this letter proposed a Wheel-Legged Robotic Limb (WRL) for the carriers. The mass of WRL is only 1.77 kg. The WRL has one rigid robotic limb located below the sprayer, which can provide active supporting force for the sprayer. The WRL adopts force closed-loop control method to ensure the system provide an expected supporting force. The system performance was evaluated including standing and walking at 5 km/h, under three experimental conditions included: 1) with a sprayer, 19.41 kg (SPRAYER), 2) with the powered WRL, 22.18 kg (WRL_ON), and 3) with the unpowered WRL, 22.18 kg (WRL_OFF). When the supporting force is set as 80 N, the experimental results show that the WRL_ON condition has reduced the vertical load force on the human, the vertical ground reaction force of human feet, and the metabolic power by 41.28%, 8.03%, and 17.46% during standing, and also reduced by 32.29%, 8.08% and 18.92% during walking, compared to SPRAYERcondition, respectively.",https://ieeexplore.ieee.org/document/9376605/
A Novel Model Predictive Control Framework Using Dynamic Model Decomposition Applied to  Dynamic Legged Locomotion,"Dynamic locomotion for legged robots is difficult because the system dynamics are highly nonlinear and complex, nominally underactuated and unstable, multi-input and multi-output, as well as time-variant and hybrid. One usually faces the choice between the intricate full-body dynamics which remains computationally expensive and sometimes even intractable, and the empirically simplified model which inevitably limits the locomotion capability. In this paper, we explore the legged robot dynamics from a different perspective. By decomposing the robot into the body and the legs, with interaction forces and moments connecting them, we enjoy a novel method called Dynamic Model Decomposition that involves lower-dimensional dynamics for each subsystem while their composition maintaining the equivalence to the original full-order robot model. Based on that, we further propose a corresponding model predictive control framework via quadratic programming, which con-siders linearly approximated body dynamics with constrained leg reaction forces as inputs. The overall methodology was successfully applied to a planar five-link biped robot. The simulation results show that the robot is capable of body reference tracking, push recovery, velocity tracking, and even blind locomotion on fairly rough terrain. This suggests a promising dynamic motion control scheme in the future.",https://ieeexplore.ieee.org/document/9561499/
the Soft-Landing Problem: Minimizing Energy Loss by a Legged Robot Impacting Yielding Terrain,"Enabling robots to walk and run on yielding terrain is vital to endeavors ranging from disaster response to extraterrestrial exploration. While dynamic legged locomotion on rigid ground is challenging enough, yielding terrain presents additional challenges such as ground deformation which dissipates energy. In this paper, we examine the soft-landing problem: given some impact momentum, bring the robot to rest while minimizing foot penetration depth. To gain insight into properties of penetration depth-minimizing control policies, we formulate a constrained optimal control problem and obtain a bang-bang open-loop force profile. Motivated by examples from biology and recent advances in legged robotics, we also examine impedance-control solutions to the soft-landing problem. Through simulations and experiments, we find that optimal impedance reduces penetration depth nearly as much as the open-loop force profile, while remaining robust to model uncertainty. Lastly, we discuss the relevance of this work to minimum-cost-of-transport locomotion for several actuator design choices.",https://ieeexplore.ieee.org/document/9018262/
Energy Efficient Navigation for Running Legged Robots,"Energy-efficient navigation is an important technology for mobile robots because of its potential to increase the operation time of the robot. In particular, when coupled with a dynamic legged quadruped, the need for energy savings is made more apparent as payloads are limited. Due to the complexity in modeling motion and power models of these robots, a new approach is necessary to effectively motion plan for these complex robots. We accomplish this by using Sampling-Based Model Predictive optimization (SBMPO) which was extended for use on the LLAMA quadrupedal platform in simulation. SBMPO allows for direct generation of trajectories while using a heuristic-based search to speed up computations. This approach is shown to effectively motion plan while optimizing for energy consumption and maintaining the natural dynamics of the robot in a simulated environment.",https://ieeexplore.ieee.org/document/8793599/
Optimal Estimation of the Centroidal Dynamics of Legged Robots,"Estimating the centroidal dynamics of legged robots is crucial in the context of multi-contact locomotion of legged robots. In this paper, we formulate the estimation of centroidal dynamics as a maximum a posteriori problem and we use a differential dynamic programming approach for solving it. The soundness of the proposed approach is first validated on a simulated humanoid robot, where ground truth data is available, enabling error analysis, and then compared to other alternatives of the state of the art, namely an extend Kalman filter and a recursive complementary filter. The results demonstrate that, compared to other approaches, the proposed method reduces the estimation error on the centroidal state in addition to ensuring the dynamics consistency of the state trajectory. Finally, the effectiveness of the proposed method is illustrated on real measurements, obtained from walking experiments with the HRP-2 humanoid robot.",https://ieeexplore.ieee.org/document/9561993/
Optimization-Inspired Controller Design for Transient Legged Locomotion,"For robots to leave the safety of the laboratory and explore the world, maneuverability will need to be mastered. However, transient motions, such as rapid acceleration and deceleration, have received little attention in the literature. This is mainly due to the complexity of analyzing these high dimensional systems that have no closed-form solution which makes controller design a non-trivial task. One method is to utilize heuristic control inspired by animal locomotion (or intuition), but these may not be optimal for a given task. Here, we take the novel approach and leverage trajectory optimization methods to enable us to identify heuristic controllers for the task of transient locomotion. Specifically, we investigate acceleration to a steady-state gait as well as decelerating from a steady-state gait to rest. These identified heuristic controllers were then validated on a hybrid pneumatic-electric monopod robot. Our initial results indicate that a Raibert controller is in fact the energy optimal policy for transient maneuvers.",https://ieeexplore.ieee.org/document/9560759/
Online Gait Transitions and Disturbance Recovery for Legged Robots via the Feasible Impulse Set,"Gaits in legged robots are often hand tuned and time based, either explicitly or through an internal clock, for instance, in the form of central pattern generators. This strategy requires trial and error to identify leg timings, which may not be suitable in challenging terrains. In this letter, we introduce new concepts to quantify leg capabilities for online gait emergence and adaptation, without fixed timings or predefined foothold sequences. Specifically, we introduce the Feasible Impulse Set, a notion that extends aspects of the classical wrench cone to include a prediction horizon into the future. By considering the impulses that can be delivered by the legs, quantified notions of leg utility are proposed for coordinating adaptive lift-off and touch-down of stance legs. The proposed methods provide push recovery and emergent gait transitions with speed. These advances are validated in experiments with the MIT Cheetah 3 robot, where the framework is shown to automatically coordinate aperiodic behaviors on a partially moving walkway.",https://ieeexplore.ieee.org/document/8630416/
