1,Spherical Magnetic Joint for Inverted Locomotion of Multi-Legged Robot
2,Contact Forces Preintegration for Estimation in Legged Robotics Using Factor Graphs
3,The Dynamic Effect of Mechanical Losses of Transmissions on the Equations of Motion of Legged  Robots
4,Impact Mitigation for Dynamic Legged Robots with Steel Wire Transmission Using Nonlinear Active  Compliance Control
5,Stair Climbing Capability-Based Dimensional Synthesis for the Multi-Legged Robot
6,State Estimation for Hybrid Wheeled-Legged Robots Performing Mobile Manipulation Tasks
7,ULT-Model: Towards a One-Legged Unified Locomotion Template Model for Forward Hopping with  an Upright Trunk
8,Nonlinear Stiffness Allows Passive Dynamic Hopping for One-Legged Robots with an Upright  Trunk
9,Configuration Transformation of the Wheel-Legged Robot Using Inverse Dynamics Control
10,A Passive Hydraulic Auxiliary System Designed for Increasing Legged Robot Payload and  Efficiency
11,Legged Robot State Estimation in Slippery Environments UsingInvariant Extended Kalman Filter  with Velocity Update
12,Learning a Centroidal Motion Planner for Legged Locomotion
14,Optimal Estimation of the Centroidal Dynamics of Legged Robots
15,A Novel Model Predictive Control Framework Using Dynamic Model Decomposition Applied to  Dynamic Legged Locomotion
16,Generating Continuous Motion and Force Plans in Real-Time for Legged Mobile Manipulation
18,Planning in Learned Latent Action Spaces for Generalizable Legged Locomotion
19,AksharaThe Fluid Field SLIP Model: Terrestrial-Aquatic Dynamic Legged Locomotion
22,Balance Control of a Novel Wheel-Legged Robot: Design and Experiments
23,Restoring Force Design of Active Self-Healing Tension Transmission System and Application to  Tendon-Driven Legged Robot
24,Collision-Free MPC for Legged Robots in Static and Dynamic Scenes
26,Optimization-Inspired Controller Design for Transient Legged Locomotion
27,Multi-Layered Safety for Legged Robots Via Control Barrier Functions and Model Predictive Control
28,Combined Sampling and Optimization Based Planning for Legged-Wheeled Robots
29,Autonomous Distributed System for Gait Generation for Single-Legged Modular Robots Connected  in Various Configurations
31,Computational Design of Energy-Efficient Legged Robots: Optimizing for Size and Actuators
32,Wheel-Legged Robotic Limb to Assist Human with Load Carriage: An Application for  Environmental Disinfection During COVID-19
33,Walking Trajectory Design of Hydraulic Legged Robot with Limited Powered Pump
34,A Legged Soft Robot Platform for Dynamic Locomotion
35,Support Surface Estimation for Legged Robots
36,SpaceBok - A Dynamic Legged Robot for Space Exploration
37,Dynamics Consensus between Centroidal and Whole-Body Models in Locomotion of Legged Robots
38,Feedback Motion Planning of Legged Robots by Composing Orbital Lyapunov Functions Using Rapidly-Exploring Random Trees
39,A Coordinate-Based Approach for Static Balancing and Walking Control of Compliantly Actuated Legged Robots
40,Energy Efficient Navigation for Running Legged Robots
41,Sparse Optimization of Contact Forces for Balancing Control of Multi-Legged Humanoids
42,Haptic Inspection of Planetary Soils with Legged Robots
43,Online Gait Transitions and Disturbance Recovery for Legged Robots via the Feasible Impulse Set
44,Trajectory Optimization for Wheeled-Legged Quadrupedal Robots Using Linearized ZMP Constraints
45,Body Lift and Drag for a Legged Millirobot in Compliant Beam Environment
46,Walking Posture Adaptation for Legged Robot Navigation in Confined Spaces
47,Rapidly Adaptable Legged Robots Via Evolutionary Meta-Learning
48,Detecting Usable Planar Regions for Legged Robot Locomotion
49,A Model-Free Solution for Stable Balancing and Locomotion of Floating-Base Legged Systems
