name,date,abstract,doi
 Optimization and learning for rough terrain legged locomotion,2011,recorded robot behavior., 10.1177/0278364910392608
legged equilibrium postures on uneven terrains,2017,static motion modes at the contacts. The paper also compares the analytical results against experimental measurements conducted on a legged mechanism prototype., 10.1177/0278364916679719
 Motion Planning for Legged Robots on Varied Terrain,2008,"2 on several example terrains, including one that requires both hand and foot contacts and another that requires rappelling.", 10.1177/0278364908098447
 A hybrid dynamical extension of averaging and its application to the analysis of legged gait stability,2018,legged hopping model. These abstract systems prepare the ground for the analysis of a significantly more complicated two legged model: a new template for quadrupedal running to be analyzed and implemented on a physical robot in a companion paper. We conclude with some rather more speculative remarks concerning the prospects for further extension and generalization of these ideas., 10.1177/0278364918756498
"based analysis and control of legged locomotion, Part 1: Theory and application to three simple gait models",2012,"step capturability, for any N > 0. Part 2 will show that these results can be used to control a humanoid robot.", 10.1177/0278364912452673
 Multistable phase regulation for robust steady and transitional legged gaits,2012,loop control perturbs the robot from its desired gait. We document how the regulation scheme secures the desired gait and permits operator selection of different gaits as required during active climbing on challenging surfaces., 10.1177/0278364912458463
 Legless Locomotion: A Novel Locomotion Technique for Legged Robots,2008,capture experiments., 10.1177/0278364908091023
body humanoid,2012,"controlled bipedal robot with 12 actuated degrees of freedom in the legs, both in simulation and in physical experiments. The physical robot was able to recover from forward and sideways pushes of up to 21 Ns while balancing on one leg and stepping to regain balance. The simulated robot was able to recover from sideways pushes of up to 15 Ns while walking, and walked across randomly placed stepping stones.", 10.1177/0278364912452762
Legged Robot Performing a Stable Hop,2011,foot impact and hopping constraints. An optimization procedure is then proposed to plan the feasible actuated trajectories that not only meet performance requirements but also attain optimality with respect to the use of actuation energy. The hopping strategy and the planned trajectories are then verified by simulation and hardware implementation. Experiments indicate that the robot can perform stable hops with different hopping distances on level ground and can successfully hop up and down staircases., 10.1177/0278364910385587
 Ambiguous collision outcomes and sliding with infinite friction in models of legged systems,2017,"intuitive behaviors and investigates the influence of system parameters onto the collision behavior of a passive dynamic walker. By studying bipedal models that range from minimalistic to physically accurate, this paper establishes a bridge between the theoretical study of unilateral contact in multibody dynamic simulations and the application of these simulation methods in the modeling of ground contact in actual legged systems.", 10.1177/0278364917731820
 Foot–terrain interaction mechanics for legged robots: Modeling and experimental validation,2013,"depth understanding of the terrain properties. Methods for identifying the model parameters are also developed. Extensive foot?soil interaction experiments have been carried out, and the experimental results validate the high fidelity of the derived models.", 10.1177/0278364913498122
 Towards versatile legged robots through active impedance control,2015,"time is a fundamental building block towards versatility. Experiments with our 80?kg hydraulic quadruped robot HyQ demonstrate that active impedance alone (i.e. no springs in the structure) can successfully emulate passively compliant elements during highly dynamic locomotion tasks (running, jumping and hopping); and that no springs are needed to protect the actuation system. Here we present results of a flying trot, also referred to as a running trot. To the best of the authors? knowledge this is the first time a flying trot has been successfully implemented on a robot without passive elements such as springs. A critical discussion on the pros and cons of active impedance concludes the paper. This article is an extension of our previous work presented at the International Symposium on Robotics Research (ISRR) 2013.", 10.1177/0278364915578839
link dynamics for legged multibody systems,2013,"actuated base. The method does not require the measurement of the joint torques. Neither the joint frictions nor the actuator dynamics need to be considered. Even when the system has no external reaction force, the method is still applicable. The method has been tested on both a humanoid robot and a human, and the experimental results are shown.", 10.1177/0278364913495932
looking sensors,2012,view limitations may influence motion patterns in natural systems., 10.1177/0278364912446005
 Morphologically induced stability on an underwater legged robot with a deformable body,2019,"dependent forces, the dynamics of a system can be modified through altering the morphology of the body to induce a desirable behavior and, thus, a morphological change can be an effective alternative to the classic control.", 10.1177/0278364919840426
 Placing and scheduling many depth sensors for wide coverage and efficient mapping in versatile legged robots,2019,occlusion at low computational costs., 10.1177/0278364919891776
legged walking robot in unknown rough terrain,2012,"global matching (SGM) method. Further, a visual odometry is calculated along with an error measure. Pose estimates are obtained by fusing inertial data with relative leg odometry and visual odometry measurements using an indirect information filter. The visual odometry error measure is used in the filtering process to put lower weights on erroneous visual odometry data, hence, improving the robustness of pose estimation. From the estimated poses and the depth images, a dense digital terrain map is created by applying the locus method. The traversability of the terrain is estimated by a plane fitting approach and paths are planned using a D* Lite planner taking the traversability of the terrain and the current motion capabilities of the robot into account. Motion commands and the traversability measures of the upcoming terrain are sent to the walking layer of the robot so that it can choose an appropriate gait for the terrain. Experimental results show the accuracy of the navigation algorithm and its robustness against visual disturbances.", 10.1177/0278364911435161
 Selecting gaits for economical locomotion of legged robots,2015,"beat walking at low speeds and trotting at intermediate speeds. At high speeds, galloping and trotting were the best gaits, with nearly equal performance. We found that the transition between gaits was primarily driven by damping losses and negative actuator work, with collisions playing a relatively small role.", 10.1177/0278364915612572
 The LittleDog robot,2010,team common platform that allowed direct comparison of results across multiple research teams. Here we report the details of this robotic system., 10.1177/0278364910387457
 The Stanford LittleDog: A learning and rapid replanning approach to quadruped locomotion,2011,"time. We present a software architecture that makes use of both static and dynamic gaits, as well as specialized dynamic maneuvers, to accomplish this task. Throughout the paper we highlight two themes that have been central to our approach: (1) the prevalent use of learning algorithms, and (2) a focus on rapid recovery and replanning techniques; we present several novel methods and algorithms that we developed for the quadruped and that illustrate these two themes. We evaluate the performance of these different methods, and also present and discuss the performance of our system on the official Learning Locomotion tests.", 10.1177/0278364910390537
