High-Fidelity Grasping in Virtual Reality Using Glove-Based System,7
Self-Supervised Incremental Learning for Sound Source Localization in Complex Indoor Environment,8
Unsupervised Out-Of-Context Action Understanding,16
Aided Inertial Navigation - Unified Feature Representations and Observability Analysis,31
Learning Wheel Odometry and IMU Errors for Localization,36
Balance Map Analysis As a Measure of Walking Balance Based on Pendulum-Like Leg Movements,38
A New Approach for an Adaptive Linear Quadratic Regulated Motion Cueing Algorithm for an 8 DoF Full Motion Driving Simulator,39
MH-iSAM2 - Multi-Hypothesis iSAM Using Bayes Tree and Hypo-Tree,41
Singularity of Cable-Driven Parallel Robot with Sagging Cables - Preliminary Investigation,47
On the Combination of Gamification and Crowd Computation in Industrial Automation and Robotics Applications,49
Locomotion Dynamics of a Miniature Wave-Like Robot Modeling and Experiments,55
Deep Reinforcement Learning of Navigation in a Complex and Crowded Environment with a Limited Field of View,60
Lifelong Learning for Heterogeneous Multi-Modal Tasks,70
Trajectory Planning for a Tractor with Multiple Trailers in Extremely Narrow Environments - A Unified Approach,73
Detection-By-Localization - Maintenance-Free Change Object Detector,75
Living with a Mobile Companion Robot in Your Own Apartment - Final Implementation and Results of a 20-Weeks Field Study,78
Improving Data Efficiency of Self-Supervised Learning for Robotic Grasping,82
Design of a Modular Continuum Robot Segment for Use in a General Purpose Manipulator,85
Linear Heterogeneous Reconfiguration of Cubic Modular Robots Via Simultaneous Tunneling and Permutation,90
Visual SLAM - Why Bundle Adjust,95
Analytic Collision Risk Calculation for Autonomos Vehicle Navigation,109
Oriented Point Sampling for Plane Detection in Unorganized Point Clouds,111
1-Actuator 3-DoF Manipulation Using an Underactuated Mechanism with Multiple Nonparallel and Viscoelastic Passive Joints,114
Critically Fast Pick-And-Place with Suction Cups,116
Project AutoVision - Localization and 3D Scene Perception for an Autonomous Vehicle with a Multi-Camera System,118
A Kalman Filter-Based Algorithm for Simultaneous Time Synchronization and Localization in UWB Networks,120
Pose Graph Optimization for Unsupervised Monocular Visual Odometry,122
3D Printed Soft Pneumatic Actuators with Intent Sensing for Hand Rehabilitative Exoskeletons,123
Dual Refinement Network for Single-Shot Object Detection,124
DeltaMag - An Electromagnetic Manipulation System with Parallel Mobile Coils,126
Interactive Open-Ended Object Affordance and Grasp Learning for Robotic Manipulation,128
Eagle Shoal - A New Designed Modular Tactile Sensing Dexterous Hand for Domestic Service Robots,129
Uncertainty-Aware Path Planning for Navigation on Road Networks Using Augmented MDPs,131
Dynamically-consistent Generalized Hierarchical Control,143
